course_title_en,course_title_fr,course_code,offering_id,offering_status,month_en,month_fr,training_hours,stream_en,stream_fr,topic_en,topic_fr,offering_language,offering_region,reg_num,reg_status,no_show,student_id,learner_classif,billing_dept_code,billing_dept_name_en,billing_dept_name_fr,client
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,10,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,21,Cancelled,1,21,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,22,Cancelled,0,22,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,23,Confirmed,0,23,EC-06,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,24,Confirmed,0,24,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,25,Cancelled,0,25,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,26,Confirmed,0,26,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,27,Cancelled,0,27,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,28,Confirmed,0,28,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,29,Cancelled,0,29,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,30,Cancelled,0,30,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,12,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,31,Confirmed,0,31,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,13,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,32,Cancelled,0,32,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,14,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,33,Cancelled,0,33,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,34,Confirmed,0,34,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,35,Cancelled,0,35,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,36,Cancelled,0,36,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,37,Confirmed,0,37,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,14,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,38,Cancelled,0,38,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,39,Confirmed,0,39,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,40,Confirmed,0,40,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,41,Cancelled - Class Cancelled,0,41,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,42,Confirmed,0,42,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,43,Confirmed,0,43,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,16,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,44,Cancelled - Class Cancelled,0,44,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,45,Cancelled,0,45,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,46,Confirmed,0,46,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,47,Cancelled - Class Cancelled,0,47,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,48,Cancelled,0,48,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,49,Cancelled - Class Cancelled,0,49,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,50,Cancelled - Class Cancelled,0,50,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,51,Cancelled,0,51,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,52,Confirmed,0,52,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,17,Cancelled - Normal,June,juin,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Prairie,53,Cancelled - Class Cancelled,0,53,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,54,Cancelled,0,54,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,16,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,55,Cancelled - Class Cancelled,0,55,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,56,Confirmed,0,56,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,57,Cancelled,0,57,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,16,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,58,Cancelled,0,58,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,59,Cancelled - Class Cancelled,0,59,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,60,Cancelled,0,60,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,61,Confirmed,0,61,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,62,Cancelled - Class Cancelled,0,62,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,18,Cancelled - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,63,Cancelled,0,63,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,10,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,64,Confirmed,0,64,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,65,Confirmed,0,65,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,1,Delivered - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,66,Cancelled,0,66,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,67,Cancelled - Class Cancelled,0,67,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,5,Delivered - Normal,April,avril,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,68,Confirmed,0,68,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,69,Cancelled,0,69,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,70,Cancelled,0,70,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,18,Cancelled - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,71,Cancelled,0,71,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,3,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,72,Confirmed,0,72,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,73,Cancelled,0,73,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,74,Cancelled,0,74,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,75,Cancelled,0,75,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,20,Open - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,76,Cancelled,0,76,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,21,Delivered - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,77,Cancelled,0,77,EC-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,22,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Ontario,78,Confirmed,0,78,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,3,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,79,Confirmed,0,79,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,80,Confirmed,0,80,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,81,Confirmed,0,81,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,82,Cancelled,0,82,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,83,Cancelled,0,83,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,84,Confirmed,0,84,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,3,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,85,Confirmed,0,85,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,86,Confirmed,0,86,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,87,Cancelled,0,87,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,88,Cancelled,0,88,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,89,Confirmed,0,89,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,23,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,90,Confirmed,0,90,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,91,Cancelled,0,91,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,92,Cancelled,0,92,EX-01,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,21,Delivered - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,93,Cancelled,0,93,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,9,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,94,Cancelled,0,94,EC-06,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,95,Confirmed,0,95,EC-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,96,Confirmed,0,96,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,97,Confirmed,0,97,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
